scenario_id,resource,difficulty,compliant,violations,nist_controls,intent
scenario_000,"aws_cloudwatch_log_group, aws_cloudwatch_log_resource_policy, aws_route53_query_log, aws_route53_zone, aws_iam_policy_document",5,True,none,"AC-6, AU-2","Has one ""aws_route53_zone"" resource
    with ""name""

Has one ""aws_cloudwatch_log_group"" resource

Ha"
scenario_001,"aws_route53_vpc_association_authorization, aws_route53_zone, aws_route53_zone_association, aws_vpc, aws_vpc",3,True,none,NONE,"Has multiple ""aws_vpc"" resource
    with a specified ""cidr_block""
    with ""enable_dns_hostnames"" eq"
scenario_002,"aws_elb, aws_route53_record, aws_route53_zone",3,False,missing_logging,"SC-8, AU-12","Has one ""aws_route53_zone"" resource
    with ""name""

Has a ""aws_elb"" resource
    with ""name""
    wi"
scenario_003,"aws_db_instance, aws_db_instance, aws_db_instance, aws_db_instance, aws_route53_record, aws_route53_record, aws_route53_record, aws_route53_zone",6,True,none,AC-6,"Has one ""aws_route53_zone"" resource
    with ""name""

Has a ""aws_db_instance"" resource
    with ""iden"
scenario_004,"aws_db_instance, aws_db_instance, aws_db_subnet_group, aws_route53_record, aws_route53_record, aws_route53_zone, aws_route53_zone, aws_subnet, aws_subnet, aws_vpc",6,True,none,"AC-6, AC-3","Has one ""aws_vpc"" resource
    with a specified ""cidr_block""

Has multiple ""aws_subnet"" resources
  "
scenario_005,"aws_db_instance, aws_db_instance, aws_db_instance, aws_route53_record, aws_route53_record, aws_route53_zone",4,True,none,AC-6,"Has one ""aws_route53_zone"" resource
    with ""name""

Has a ""aws_db_instance"" resource
    with ""iden"
scenario_006,"aws_elastic_beanstalk_application, aws_elastic_beanstalk_environment, aws_iam_instance_profile, aws_iam_role, aws_iam_role_policy_attachment",4,True,none,AC-6,"Has one ""aws_iam_role"" resource
    with ""name""
    with ""assume_role_policy"" and ""Service"" set to """
scenario_007,"aws_elastic_beanstalk_application, aws_elastic_beanstalk_environment, aws_iam_instance_profile, aws_iam_role, aws_iam_role_policy_attachment",5,True,none,AC-6,"Has one ""aws_iam_role"" resource
    with ""name""
    with ""assume_role_policy"" and ""Service"" set to """
scenario_008,"aws_elastic_beanstalk_application, aws_elastic_beanstalk_environment, aws_elastic_beanstalk_environment, aws_iam_instance_profile, aws_iam_role, aws_iam_role_policy_attachment",5,True,none,AC-6,"Has one ""aws_iam_role"" resource
    with ""name""
    with ""assume_role_policy"" and ""Service"" set to """
scenario_009,"aws_elastic_beanstalk_application, aws_elastic_beanstalk_application_version, aws_elastic_beanstalk_environment, aws_iam_instance_profile, aws_iam_role, aws_iam_role_policy_attachment, aws_s3_bucket, aws_s3_object, aws_sqs_queue",6,False,"missing_encryption, missing_logging, public_access_not_blocked","AC-6, SC-28, AU-12","Has one ""aws_iam_role"" resource
    with ""name""
    with ""assume_role_policy"" and ""Service"" set to """
scenario_010,"aws_elastic_beanstalk_application, aws_elastic_beanstalk_application_version, aws_elastic_beanstalk_environment, aws_iam_instance_profile, aws_iam_role, aws_iam_role_policy_attachment, aws_s3_bucket, aws_s3_object",5,False,"missing_encryption, missing_logging, public_access_not_blocked","AC-6, SC-28, AU-12","Has one ""aws_iam_role"" resource
    with ""name""
    with ""assume_role_policy"" and ""Service"" set to """
scenario_011,"aws_elastic_beanstalk_application, aws_elastic_beanstalk_application_version, aws_elastic_beanstalk_environment, aws_iam_instance_profile, aws_iam_role, aws_iam_role_policy_attachment, aws_route53_record, aws_route53_zone, aws_s3_bucket, aws_s3_object",6,False,"missing_encryption, missing_logging, public_access_not_blocked","AC-6, SC-28, AU-12","Has one ""aws_iam_role"" resource
    with ""name""
    with ""assume_role_policy"" and ""Service"" set to """
scenario_012,"aws_elastic_beanstalk_application, aws_elastic_beanstalk_environment, aws_elastic_beanstalk_environment, aws_iam_instance_profile, aws_iam_role, aws_iam_role_policy_attachment, aws_route53_record, aws_route53_record, aws_route53_zone",6,True,none,AC-6,"Has one ""aws_iam_role"" resource
    with ""name""
    with ""assume_role_policy"" and ""Service"" set to """
scenario_013,"aws_elastic_beanstalk_application, aws_elastic_beanstalk_application, aws_elastic_beanstalk_environment, aws_elastic_beanstalk_environment, aws_iam_instance_profile, aws_iam_role, aws_iam_role_policy_attachment, aws_route53_record, aws_route53_record, aws_route53_zone",6,True,none,AC-6,"Has one ""aws_iam_role"" resource
    with ""name""
    with ""assume_role_policy"" and ""Service"" set to """
scenario_014,"aws_db_instance, aws_elastic_beanstalk_application, aws_elastic_beanstalk_environment, aws_iam_instance_profile, aws_iam_role, aws_iam_role_policy_attachment",6,True,none,"AC-6, AC-3","Has one ""aws_iam_role"" resource
    with ""name""
    with ""assume_role_policy"" and ""Service"" set to """
scenario_015,"aws_db_instance, aws_db_instance, aws_elastic_beanstalk_application, aws_elastic_beanstalk_environment, aws_elastic_beanstalk_environment, aws_iam_instance_profile, aws_iam_role, aws_iam_role_policy_attachment",6,True,none,AC-6,"Has one ""aws_iam_role"" resource
    with ""name""
    with ""assume_role_policy"" and ""Service"" set to """
scenario_016,"aws_db_instance, aws_db_snapshot, aws_elastic_beanstalk_application, aws_elastic_beanstalk_environment, aws_elastic_beanstalk_environment, aws_iam_instance_profile, aws_iam_role, aws_iam_role_policy_attachment",6,True,none,AC-6,"Has one ""aws_iam_role"" resource
    with ""name""
    with ""assume_role_policy"" and ""Service"" set to """
scenario_017,"aws_db_instance, aws_elastic_beanstalk_application, aws_elastic_beanstalk_environment, aws_iam_instance_profile, aws_iam_role, aws_iam_role_policy_attachment",6,True,none,AC-6,"Has one ""aws_iam_role"" resource
    with ""name""
    with ""assume_role_policy"" and ""Service"" set to """
scenario_018,"aws_db_instance, aws_db_subnet_group, aws_elastic_beanstalk_application, aws_elastic_beanstalk_environment, aws_iam_instance_profile, aws_iam_role, aws_iam_role_policy_attachment, aws_internet_gateway, aws_route_table, aws_route_table_association, aws_route_table_association, aws_security_group, aws_subnet, aws_subnet, aws_vpc",6,True,none,"AC-6, AC-3","Has one ""aws_iam_role"" resource
    with ""name""
    with ""assume_role_policy"" and ""Service"" set to """
scenario_019,"aws_db_instance, aws_db_subnet_group, aws_elastic_beanstalk_application, aws_elastic_beanstalk_environment, aws_elastic_beanstalk_environment, aws_iam_instance_profile, aws_iam_role, aws_iam_role_policy_attachment, aws_internet_gateway, aws_route_table, aws_route_table_association, aws_route_table_association, aws_security_group, aws_subnet, aws_subnet, aws_vpc",6,True,none,"AC-6, AC-3","Has one ""aws_iam_role"" resource
    with ""name""
    with ""assume_role_policy"" and ""Service"" set to """
scenario_020,"aws_route53_record, aws_route53_zone",2,True,none,NONE,"Has one ""aws_route53_zone"" resource
    with ""name"" set to ""example53.com""

Has one ""aws_route53_rec"
scenario_021,"aws_route53_record, aws_route53_zone",2,True,none,NONE,"Has one ""aws_route53_zone"" resource
    with ""name"" set to ""example53.com""

Has one ""aws_route53_rec"
scenario_022,"aws_route53_record, aws_route53_zone",2,True,none,NONE,"Has one ""aws_route53_zone"" resource
    with ""name"" ending in "".in-addr.arpa""

Has one ""aws_route53_"
scenario_023,"aws_route53_record, aws_route53_zone",2,True,none,NONE,"Has one ""aws_route53_zone"" resource
    with ""name"" set to ""example53.com""

Has one ""aws_route53_rec"
scenario_024,"aws_db_instance, aws_elastic_beanstalk_application, aws_elastic_beanstalk_environment, aws_iam_instance_profile, aws_iam_role, aws_iam_role_policy_attachment, aws_route53_record, aws_route53_zone",5,True,none,AC-6,"Has one ""aws_iam_role"" resource
    with ""name""
    with ""assume_role_policy"" and ""Service"" set to """
scenario_025,"aws_db_instance, aws_db_instance, aws_elastic_beanstalk_application, aws_elastic_beanstalk_application, aws_elastic_beanstalk_environment, aws_elastic_beanstalk_environment, aws_iam_instance_profile, aws_iam_role, aws_iam_role_policy_attachment, aws_route53_record, aws_route53_record, aws_route53_zone",6,True,none,AC-6,"Has one ""aws_iam_role"" resource
    with ""name""
    with ""assume_role_policy"" and ""Service"" set to """
scenario_026,"aws_db_instance, aws_elastic_beanstalk_application, aws_elastic_beanstalk_environment, aws_elastic_beanstalk_environment, aws_iam_instance_profile, aws_iam_role, aws_iam_role_policy_attachment, aws_route53_health_check, aws_route53_health_check, aws_route53_record, aws_route53_record, aws_route53_zone",6,True,none,AC-6,"Has one ""aws_iam_role"" resource
    with ""name""
    with ""assume_role_policy"" and ""Service"" set to """
scenario_027,"aws_elastic_beanstalk_application, aws_elastic_beanstalk_environment, aws_iam_instance_profile, aws_iam_role, aws_iam_role_policy_attachment",4,True,none,AC-6,"Has one ""aws_iam_role"" resource
    with ""name""
    with ""assume_role_policy"" and ""Service"" set to """
scenario_028,"aws_elastic_beanstalk_application, aws_elastic_beanstalk_configuration_template",2,True,none,NONE,"Has one ""aws_elastic_beanstalk_application"" resource
    with ""name""

Has one ""aws_elastic_beanstalk"
scenario_029,"aws_elastic_beanstalk_application, aws_elastic_beanstalk_configuration_template",2,True,none,NONE,"Has one ""aws_elastic_beanstalk_application"" resource
    with ""name""

Has one ""aws_elastic_beanstalk"
scenario_030,aws_elastic_beanstalk_application,1,True,none,NONE,"Has one ""aws_elastic_beanstalk_application"" resource
    with ""name"""
scenario_031,"aws_elastic_beanstalk_application, aws_iam_role",3,True,none,AC-6,"Has one ""aws_elastic_beanstalk_application"" resource
    with ""name""
    with ""appversion_lifecycle"""
scenario_032,"aws_elastic_beanstalk_application, aws_iam_role",3,True,none,AC-6,"Has one ""aws_elastic_beanstalk_application"" resource
    with ""name""
    with ""appversion_lifecycle"""
scenario_033,"aws_codebuild_project, aws_iam_role",4,True,none,AC-6,"Has one ""aws_iam_role"" resource and one ""aws_codebuild_project"" resource with the ""type"" argument wi"
scenario_034,"aws_codebuild_project, aws_iam_role, aws_s3_bucket",5,False,"missing_encryption, missing_logging, public_access_not_blocked","AC-6, SC-28, AU-12","Has one ""aws_iam_role"" resource, one ""aws_s3_bucket"" resource, and one ""aws_codebuild_project"" resou"
scenario_035,"aws_codebuild_project, aws_iam_role",4,True,none,AC-6,"Has one ""aws_iam_role"" resource and one ""aws_codebuild_project"" resource with at least one ""environm"
scenario_036,"aws_codebuild_project, aws_iam_role, aws_s3_bucket",5,False,"missing_encryption, missing_logging, public_access_not_blocked","AC-6, SC-28, AU-12","Has one ""aws_iam_role"" resource, one ""aws_s3_bucket"" resource, and one ""aws_codebuild_project"" resou"
scenario_037,"aws_codebuild_project, aws_iam_role, aws_s3_bucket",5,False,"missing_encryption, missing_logging, public_access_not_blocked","AC-6, SC-28, AU-12","Has one ""aws_iam_role"" resource, one ""aws_s3_bucket"" resource, and one ""aws_codebuild_project"" resou"
scenario_038,"aws_codebuild_project, aws_iam_role",4,True,none,AC-6,"Has one ""aws_iam_role"" resource and one ""aws_codebuild_project"" resource with a ""secondary_sources"" "
scenario_039,"aws_codebuild_project, aws_iam_role, aws_s3_bucket, aws_s3_bucket",5,False,"missing_encryption, missing_logging, public_access_not_blocked","AC-6, SC-28, AU-12","Has one ""aws_iam_role"" resource, at least one ""aws_s3_bucket"" resource, and one ""aws_codebuild_proje"
scenario_040,"aws_codebuild_project, aws_iam_role, aws_s3_bucket",5,False,"missing_encryption, missing_logging, public_access_not_blocked","AC-6, SC-28, AU-12","Has one ""aws_iam_role"" resource, one ""aws_s3_bucket"" resource, and one ""aws_codebuild_project"" resou"
scenario_041,"aws_codebuild_project, aws_iam_role, aws_s3_bucket, aws_s3_bucket",5,False,"missing_encryption, missing_logging, public_access_not_blocked","AC-6, SC-28, AU-12","Has one ""aws_iam_role"" resource, at least one ""aws_s3_bucket"" resource, and one ""aws_codebuild_proje"
scenario_042,"aws_lex_bot, aws_lex_intent",5,True,none,AC-6,"Has one resource ""aws_lex_bot"" and one resource ""aws_lex_intent"""
scenario_043,"aws_lex_bot, aws_lex_intent",6,True,none,AC-6,"Has one resource ""aws_lex_bot"" and one resource ""aws_lex_intent""  with at least 2 slot blocks "
scenario_044,"aws_lex_bot, aws_lex_intent, aws_lex_slot_type",6,True,none,AC-6,"Has one resource ""aws_lex_bot"" and one resource ""aws_lex_intent"" with followup question block (slot "
scenario_045,"aws_lex_bot, aws_lex_intent",6,True,none,AC-6,"Has one resource ""aws_lex_bot"" and at least one resource ""aws_lex_intent"" with at least one user pro"
scenario_046,"aws_lex_bot, aws_lex_intent",4,True,none,AC-6,"Has one resource ""aws_lex_bot"" with all arguments initialized and at least one ""aws_lex_intent"" reso"
scenario_047,"aws_lex_bot, aws_lex_intent, aws_lex_intent, aws_lex_intent, aws_lex_intent, aws_lex_intent",6,True,none,AC-6,"Has one resource ""aws_lex_bot"" with 5 different intent blocks and 5 different ""aws_lex_intent"" resou"
scenario_048,"aws_lex_bot, aws_lex_intent, aws_lex_intent, aws_lex_intent",4,True,none,AC-6,"Has one resource ""aws_lex_bot"" with ""child_directed"" = true and at least one ""aws_lex_intent"" resour"
scenario_049,"aws_lex_bot, aws_lex_intent",4,True,none,AC-6,"Has one resource ""aws_lex_bot"" with argument ""enable_model_improvements"" = true
 and argument ""nlu_i"
scenario_050,"aws_iam_role, aws_lambda_function, aws_lambda_permission, aws_lex_bot, aws_lex_intent",5,True,none,AC-6,"Has one resource ""aws_lex_bot"" with at least one ""aws_lex_intent"" resource and a ""aws_lambda_functio"
scenario_051,"aws_iam_role, aws_lexv2models_bot",3,True,none,AC-6,"Has one resource ""aws_iam_role"" and one resource ""aws_lexv2models_bot"""
scenario_052,"aws_iam_role, aws_lexv2models_bot",3,True,none,AC-6,"Has one resource ""aws_iam_role"" and one resource ""aws_lexv2models_bot"" and ""child_directed"" = true"
scenario_053,"aws_connect_bot_association, aws_connect_instance, aws_lex_bot, aws_lex_intent, aws_region",4,True,none,AC-6,"Has one resource ""aws_connect_instance"", at least one ""aws_lex_intent"" resource, one ""aws_lex_bot"" r"
scenario_054,"aws_connect_bot_association, aws_connect_instance, aws_lex_bot, aws_lex_intent, aws_region",4,True,none,AC-6,"Has one resource ""aws_connect_instance"", at least one ""aws_lex_intent"" resource, one ""aws_lex_bot"" r"
scenario_055,"aws_connect_bot_association, aws_connect_instance, aws_lex_bot, aws_lex_intent, aws_region",4,True,none,AC-6,"Has one resource ""aws_connect_instance"" with argument ""identity_management_type"" = SAML, at least on"
scenario_056,aws_kinesis_stream,2,True,none,NONE,"Has one ""aws_kinesis_stream"" resource"
scenario_057,"aws_iam_policy, aws_iam_role, aws_iam_role_policy_attachment, aws_kinesis_analytics_application, aws_kinesis_stream, aws_iam_policy_document, aws_iam_policy_document",5,True,none,AC-6,"Has one ""aws_kinesis_analytics_application"" resource with one ""aws_kinesis_stream"" resource as an in"
scenario_058,"aws_iam_role, aws_kinesisanalyticsv2_application, aws_iam_policy_document",3,True,none,AC-6,"Has one ""aws_iam_role"" resource, and one ""aws_kinesisanalyticsv2_application"" with argument runtime_"
scenario_059,"aws_iam_role, aws_kinesis_firehose_delivery_stream, aws_s3_bucket, aws_iam_policy_document",5,False,"missing_encryption, missing_logging, public_access_not_blocked","AC-6, SC-28, AU-12","Has one ""aws_iam_role"" resource, one ""aws_s3_bucket"" resource, and one ""aws_kinesis_firehose_deliver"
scenario_060,"aws_iam_role, aws_kinesis_firehose_delivery_stream, aws_redshift_cluster, aws_s3_bucket, aws_iam_policy_document",4,False,"missing_encryption, missing_logging, wildcard_permission, public_access_not_blocked","AC-6, SC-28, AU-12","Has one ""aws_iam_role"" resource, one ""aws_s3_bucket"" resource, one ""aws_redshift_cluster"" resource, "
scenario_061,"aws_elasticsearch_domain, aws_iam_role, aws_iam_role_policy, aws_kinesis_firehose_delivery_stream, aws_s3_bucket, aws_iam_policy_document, aws_iam_policy_document",5,False,"missing_encryption, missing_logging, wildcard_permission, public_access_not_blocked","AC-6, SC-28, AU-12","Has one ""aws_iam_role"" resource, one ""aws_s3_bucket"" resource, one ""aws_elasticsearch_domain"" resour"
scenario_062,"aws_iam_role, aws_iam_role_policy, aws_kinesis_firehose_delivery_stream, aws_opensearch_domain, aws_s3_bucket, aws_iam_policy_document, aws_iam_policy_document",5,False,"missing_encryption, missing_logging, wildcard_permission, public_access_not_blocked","AC-6, SC-28, AU-12","Has one ""aws_iam_role"" resource, one ""aws_s3_bucket"" resource, one ""aws_opensearch_domain"" resource,"
scenario_063,"aws_iam_role, aws_kinesis_firehose_delivery_stream, aws_s3_bucket, aws_iam_policy_document",3,False,"missing_encryption, missing_logging, public_access_not_blocked","AC-6, SC-28, AU-12","Has one ""aws_iam_role"" resource, one ""aws_s3_bucket"" resource, and one ""aws_kinesis_firehose_deliver"
scenario_064,"aws_iam_role, aws_kinesis_firehose_delivery_stream, aws_opensearchserverless_collection, aws_opensearchserverless_security_policy, aws_s3_bucket, aws_iam_policy_document",4,False,"missing_encryption, missing_logging, public_access_not_blocked","AC-6, AU-12","Has one ""aws_iam_role"" resource, one ""aws_s3_bucket"" resource, one ""aws_opensearchserverless_securit"
scenario_065,"aws_elasticsearch_domain, aws_iam_role, aws_iam_role_policy, aws_kinesis_firehose_delivery_stream, aws_s3_bucket, aws_security_group, aws_subnet, aws_subnet, aws_vpc, aws_iam_policy_document, aws_iam_policy_document",6,False,"missing_encryption, missing_logging, wildcard_permission, public_access_not_blocked","AC-6, AC-3, SC-28, AU-12","Has one ""aws_iam_role"" resource, one ""aws_s3_bucket"" resource, one ""aws_elasticsearch_domain"" resour"
scenario_066,"aws_iam_role, aws_kinesis_firehose_delivery_stream, aws_s3_bucket, aws_iam_policy_document",4,False,"missing_encryption, missing_logging, wildcard_permission, public_access_not_blocked","AC-6, SC-28, AU-12","Has one ""aws_iam_role"" resource, one ""aws_s3_bucket"" resource, and one ""aws_kinesis_firehose_deliver"
scenario_067,"aws_iam_role, aws_iam_role_policy, aws_kinesis_firehose_delivery_stream, aws_opensearch_domain, aws_s3_bucket, aws_security_group, aws_subnet, aws_subnet, aws_vpc, aws_iam_policy_document",6,False,"missing_encryption, missing_logging, wildcard_permission, public_access_not_blocked","AC-6, AC-3, SC-28, AU-12","Has one ""aws_iam_role"" resource, one ""aws_s3_bucket"" resource, one ""aws_opensearch_domain"" resource,"
scenario_068,aws_kinesis_video_stream,2,True,none,NONE,"Has one ""aws_kinesis_video_stream"" resource"
scenario_069,"aws_kinesis_stream, aws_kinesis_stream_consumer",2,True,none,NONE,"Has one ""aws_kinesis_stream"" resource and one ""aws_kinesis_stream_consumer"" resource"
scenario_070,"aws_iam_role, aws_kinesis_firehose_delivery_stream, aws_s3_bucket, aws_iam_policy_document",3,False,"missing_encryption, missing_logging, public_access_not_blocked","AC-6, SC-28, AU-12","Has one ""aws_iam_role"" resource, one ""aws_s3_bucket"" resource, and one ""aws_kinesis_firehose_deliver"
scenario_071,aws_kinesis_analytics_application,1,True,none,NONE,"Has one ""aws_kinesis_analytics_application"" resource"
scenario_072,"aws_iam_role, aws_kinesisanalyticsv2_application, aws_iam_policy_document",3,True,none,AC-6,"Has one ""aws_iam_role"" resource, and one ""aws_kinesisanalyticsv2_application"" with argument runtime_"
scenario_073,"aws_iam_role, aws_kinesisanalyticsv2_application, aws_iam_policy_document",3,True,none,AC-6,"Has one ""aws_cloudwatch_log_group"" resource, one ""aws_cloudwatch_log_stream"" resource, one ""aws_iam_"
scenario_074,"aws_iam_role, aws_iam_role_policy, aws_kendra_data_source, aws_kendra_index",5,False,wildcard_permission,AC-6,"Has one ""aws_iam_role"" resource, one ""aws_kendra_index"" resource, and one ""aws_kendra_data_source"" r"
