file,label,injected_violation,nist_control,resource
nc_s3_no_encryption.tf,NON_COMPLIANT,s3_missing_encryption,SC-28,aws_s3_bucket
nc_rds_no_encryption.tf,NON_COMPLIANT,rds_missing_encryption,SC-28,aws_db_instance
nc_ebs_no_encryption.tf,NON_COMPLIANT,ebs_missing_encryption,SC-28,aws_ebs_volume
nc_s3_public_access.tf,NON_COMPLIANT,s3_public_access_not_blocked,AC-3,aws_s3_bucket
nc_iam_wildcard.tf,NON_COMPLIANT,wildcard_iam_policy,AC-6,aws_iam_role_policy
nc_sg_open_ingress.tf,NON_COMPLIANT,unrestricted_ingress,AC-3,aws_security_group
nc_cloudtrail_no_logging.tf,NON_COMPLIANT,cloudtrail_logging_disabled,AU-2,aws_cloudtrail
nc_s3_no_logging.tf,NON_COMPLIANT,s3_logging_disabled,AU-12,aws_s3_bucket
nc_cloudtrail_no_validation.tf,NON_COMPLIANT,cloudtrail_no_log_validation,AU-9,aws_cloudtrail
nc_lb_no_https.tf,NON_COMPLIANT,lb_not_using_https,SC-8,aws_lb_listener
nc_s3_multiple_violations.tf,NON_COMPLIANT,multiple_violations,"SC-28,AC-3,AC-6,AU-12",aws_s3_bucket
nc_rds_no_encryption_2.tf,NON_COMPLIANT,rds_missing_encryption,SC-28,aws_db_instance
nc_sg_ssh_open.tf,NON_COMPLIANT,unrestricted_ingress,AC-3,aws_security_group
nc_cloudtrail_misconfigured.tf,NON_COMPLIANT,cloudtrail_logging_disabled,"AU-2,AU-9",aws_cloudtrail
nc_ebs_no_field.tf,NON_COMPLIANT,ebs_missing_encryption,SC-28,aws_ebs_volume
c_s3_encrypted.tf,COMPLIANT,none,none,aws_s3_bucket
c_rds_encrypted.tf,COMPLIANT,none,none,aws_db_instance
c_cloudtrail_full.tf,COMPLIANT,none,none,aws_cloudtrail
c_sg_restricted.tf,COMPLIANT,none,none,aws_security_group
c_ebs_encrypted.tf,COMPLIANT,none,none,aws_ebs_volume
